sta,x,y,z 
AMKO,-883143.7283,6010905.97,1937627.074
AUPG,-944812.3181,6059317.812,1748565.731
AWLK,-956898.1201,6237552.826,923074.1789
AYYA,-1134355.923,6075002.177,1572057.163
BDNG,-1394061.632,5916171.632,1926911.001
BGKN,-1429609.859,5884458.176,1996199.408
BGSP,-1025844.28,6171495.571,1237207.949
BKOK,-1164774.158,5954583.644,1961139.402
BLAN,-1092605.277,6093002.108,1531704.644
BLMG,-1173899.268,6106032.829,1416075.255
BNMG,-1424891.749,5903604.416,1942688.598
BNNR,-1245302.033,6020375.538,1693509.416
BNPE,-1312990.043,5935131.037,1925598.974
BNPG,-1490327.404,5883320.561,1954980.794
BNST,-1237503.172,6218447.821,691007.0943
BOBR,-1391662.267,5971555.68,1750910.426
BOKO,-1166457.274,5914133.635,2079169.369
BORI,-1351917.02,6077443.779,1380185.288
BPLE,-1165297.628,6090154.093,1489142.25
BRAI,-1018998.019,6075036.506,1649079.687
BTAK,-961970.9253,6023303.64,1858216.047
BTHG,-1639449.563,5947410.669,1614109.91
BTNG,-1218862.416,6227966.162,639032.9837
BUYI,-1321930.878,6001460.551,1702320.521
CHDN,-1186343.498,6041577.945,1659611.826
CHKG,-1081311.462,5889456.946,2190327.169
CHKN,-1227549.045,5946179.509,1947708.437
CHPM,-1279551.952,6003831.207,1726072.585
CHTK,-1120650.593,5988384.069,1882119.766
CHYA,-1002385.227,6212540.322,1035825.179
CLPK,-1155476.497,5899959.21,2124054.464
CMPN,-994847.3709,6192799.108,1153707.208
DKTN,-1255359.191,6026996.945,1662480.709
DSAI,-1177822.739,5977434.796,1882542.73
DUDM,-1602825.941,5952859.308,1630520.453
HACH,-983712.8471,5976429.99,1992894.548
JAHM,-1003279.353,5959659.201,2032774.131
JKRT,-1324558.153,6017889.662,1641619.259
KBCG,-1451929.357,6004092.537,1583920.507
KHJM,-1643844.07,5929413.531,1674145.587
KHMR,-1610362.735,5916200.425,1751219.263
KKJN,-1042149.885,6130097.063,1415474.592
KKOI,-1177853.826,6060475.383,1595852.011
KKOR,-1166142.238,6001729.437,1813678.859
KLKG,-1033372.204,6038316.572,1769416.164
KLNG,-1260305.499,6092118.856,1401767.908
KMCE,-1522610.86,5922257.013,1808079.429
KNKN,-1359633.404,5966156.923,1793620.566
KNSN,-1430047.513,5950285.162,1791563.573
KNSW,-1304887.667,5994465.347,1739513.788
KNYM,-835485.1078,5981024.478,2046760.755
KOGD,-1356670.587,6098367.025,1280387.574
KORN,-1310276.994,6035214.698,1589147.45
KPNG,-1091258.58,6191725.732,1069785.341
KSKS,-1297233.273,6014496.671,1675341.77
KSSB,-1268450.969,5991381.567,1776614.709
KSWS,-1442357.751,5971379.893,1710148.231
KTBN,-1108229.593,6099965.757,1492516.507
KUKN,-1513557.395,5981932.033,1609518.328
LAGU,-1076506.636,6240272.868,759452.7715
LGNT,-1539632.869,5929777.824,1768790.361
LMHP,-1338441.867,6090316.22,1336049.966
LOMS,-1186804.664,5992762.106,1827068.811
LPMA,-1369202.715,6007553.801,1642821.515
MEJM,-879958.0897,5986691.593,2011006.41
MHGS,-834433.3465,5964346.489,2093791.354
MSAI,-1026414.611,5891081.334,2212260.099
MSOD,-910899.2635,6042330.782,1822373.51
MSSB,-1562765.839,5945492.541,1694592.581
MWOG,-1015276.262,6054805.825,1723480.784
NAMY,-1598658.068,5966272.217,1585475.466
NANO,-1125627.002,5951334.291,1992890.235
NDDG,-1363560.699,6029293.226,1566955.248
NROA,-1317070.445,5974070.256,1799116.359
NRTW,-1298692.047,6203820.273,709432.9058
NSHO,-1360064.871,5988321.219,1718374.519
OKRK,-1178264.709,6073649.815,1544929.741
PBHN,-1616950.628,5939038.528,1666309.467
PDCP,-1215053.83,6014244.909,1736656.68
PKET,-922364.7309,6250472.476,869690.3942
PKKT,-1132704.078,6087758.976,1523587.145
PKNK,-1118572.054,6211236.565,918761.1583
PLDG,-1209062.399,6097743.687,1422375.213
PNNK,-1203242.957,6086106.105,1475570.248
PNPS,-1373243.527,5909346.315,1962218.11
PNTG,-1479557.522,5941539.098,1780478.981
PONG,-1075182.707,5930942.54,2079127.425
PPRM,-1080405.323,6003677.957,1856402.478
PTBR,-1072924.614,6119631.247,1437164.007
PTLG,-1105618.392,6224822.653,839659.5323
PYAO,-1034057.321,5936805.323,2083569.543
RAND,-1132675.151,6217667.105,856322.4156
RATP,-1126888.437,6227966.774,786903.8632
RAYG,-1216734.141,6103745.877,1389703.511
SADO,-1148835.675,6229445.656,742561.5726
SAKW,-1298270.298,6057509.644,1512153.805
SAMG,-916785.4548,5968685.566,2047598.743
SATN,-1107406.081,6238298.149,730921.6833
SBRI,-1275756.046,6205018.351,739691.2553
SCHP,-1289379.552,5970107.233,1831833.073
SDAN,-1154290.258,6017172.294,1766859.116
SDAO,-1314805.833,6071792.186,1440225.212
SGNN,-1252681.133,6036860.508,1628666.817
SICN,-1083287.494,6206158.172,991943.7263
SISA,-1031455.483,5996165.586,1907542.621
SKBR,-905236.8789,6090993.973,1656706.383
SKNK,-1488626.008,5911747.992,1869297.777
SKOM,-1289315.586,5927262.422,1965132.699
SKPM,-1469422.542,5986139.141,1634344.973
SKTH,-1041315.971,6011520.38,1853388.447
SMNM,-974577.2565,5987073.777,1965312.116
SNCK,-1229477.122,6075764.071,1496300.91
SPDI,-1305397.442,6206670.057,671589.7127
SPUG,-1017286.374,6117911.869,1484364.765
STHP,-1177360.741,6111612.722,1389030.982
STUK,-1414854.77,5988824.044,1671947.208
SURN,-1438060.634,5995699.18,1627265.352
TAPY,-1371959.762,6035819.595,1533662.325
TEPA,-1204574.189,6217561.781,753451.134
TGSG,-1060808.273,6224764.576,895963.7136
THKP,-914615.8247,6235614.447,977034.8574
THPP,-925141.5741,6099790.272,1612846.597
THSY,-871885.1469,6031204.796,1876842.132
TKPP,-1594092.873,5934255.262,1704736.803
TPHN,-1108845.787,6024716.062,1769997.482
TPNM,-1549746.156,5903313.778,1846191.814
UTHI,-1069153.625,6058113.567,1678632.463
UTOG,-1061726.019,6087755.08,1573446.347
VCBR,-1183380.21,6027943.67,1710264.07
WGCN,-1012833.258,5986316.617,1947860.064
WHAG,-902983.0112,5944737.504,2122260.134
WNKH,-1268879.172,6047265.5,1577808.207
WNNW,-1445454.186,5906210.364,1919621.168
WSPG,-1242444.443,5963539.634,1884709.009
